[2025-08-20 15:46:48,614][INFO] Starting VQE run 0 (seed=19824633)
[2025-08-20 15:46:50,911][INFO] Iteration 1: Energy = 0.96403596
[2025-08-20 15:46:53,363][INFO] Iteration 2: Energy = 0.96203796
[2025-08-20 15:46:56,082][INFO] Iteration 3: Energy = 0.90509491
[2025-08-20 15:46:58,260][INFO] Iteration 4: Energy = 0.77822178
[2025-08-20 15:47:00,841][INFO] Iteration 5: Energy = 0.59440559
[2025-08-20 15:47:03,295][INFO] Iteration 6: Energy = 0.26573427
[2025-08-20 15:47:05,508][INFO] Iteration 7: Energy = 0.06493506
[2025-08-20 15:47:07,879][INFO] Iteration 8: Energy = 0.00699301
[2025-08-20 15:47:10,161][INFO] Iteration 9: Energy = 0.00499500
[2025-08-20 15:47:12,418][INFO] Iteration 10: Energy = 0.00599401
[2025-08-20 15:47:12,418][INFO] Completed VQE run 0: Energy = 0.005994
[2025-08-21 12:12:27,468][INFO] Starting VQE run 0 (seed=4702068)
[2025-08-21 12:12:27,468][INFO] EstimatorOptions(_VERSION=2, max_execution_time=Unset, environment=EnvironmentOptions(log_level='WARNING', callback=None, job_tags=None, private=False), simulator=SimulatorOptions(noise_model=Unset, seed_simulator=Unset, coupling_map=Unset, basis_gates=Unset), default_precision=Unset, default_shots=1000, resilience_level=Unset, seed_estimator=Unset, dynamical_decoupling=DynamicalDecouplingOptions(enable=Unset, sequence_type=Unset, extra_slack_distribution=Unset, scheduling_method=Unset, skip_reset_qubits=Unset), resilience=ResilienceOptionsV2(measure_mitigation=Unset, measure_noise_learning=MeasureNoiseLearningOptions(num_randomizations=Unset, shots_per_randomization=Unset), zne_mitigation=Unset, zne=ZneOptions(amplifier=Unset, noise_factors=Unset, extrapolator=Unset, extrapolated_noise_factors=Unset), pec_mitigation=Unset, pec=PecOptions(max_overhead=Unset, noise_gain=Unset), layer_noise_learning=LayerNoiseLearningOptions(max_layers_to_learn=Unset, shots_per_randomization=Unset, num_randomizations=Unset, layer_pair_depths=Unset), layer_noise_model=Unset), execution=ExecutionOptionsV2(init_qubits=Unset, rep_delay=Unset), twirling=TwirlingOptions(enable_gates=Unset, enable_measure=Unset, num_randomizations=Unset, shots_per_randomization=Unset, strategy=Unset), experimental=Unset)
[2025-08-21 12:12:27,516][INFO] Iteration 1: Energy = 0.92607393
[2025-08-21 12:12:27,549][INFO] Iteration 2: Energy = 0.00000000
[2025-08-21 12:12:27,581][INFO] Iteration 3: Energy = 0.33666334
[2025-08-21 12:12:27,619][INFO] Iteration 4: Energy = 0.01398601
[2025-08-21 12:12:27,660][INFO] Iteration 5: Energy = 0.00599401
[2025-08-21 12:12:27,697][INFO] Iteration 6: Energy = 0.00000000
[2025-08-21 12:12:27,731][INFO] Iteration 7: Energy = 0.00099900
[2025-08-21 12:12:27,766][INFO] Iteration 8: Energy = 0.00000000
[2025-08-21 12:12:27,804][INFO] Iteration 9: Energy = 0.00000000
[2025-08-21 12:12:27,840][INFO] Iteration 10: Energy = 0.00000000
[2025-08-21 12:12:27,843][INFO] Completed VQE run 0: Energy = 0.000000
