JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d3db5kudacis73dbmrl0,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:24:52.125184Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db5jedacis73dbmrjg,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:24:45.584465Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db5hk86mts73ccpgpg,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:24:38.697681Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db5g486mts73ccpgn0,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:24:32.927987Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db5emlahfs73cvskgg,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:24:26.904772Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db5d486mts73ccpgk0,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:24:20.91018Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db5bnc8jls73c112c0,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:24:14.471436Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db59s86mts73ccpggg,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:24:07.89546Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db58edacis73dbmr8g,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:24:01.077794Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db56vc8jls73c11270,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:23:55.094914Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db557c8jls73c11250,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:23:48.530049Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db53nc8jls73c11230,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:23:42.177983Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db51s86mts73ccpg80,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:23:35.828719Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3db4dedacis73dbmqg0,2792e1eb-d7a1-4b83-8050-76b89010ec3b,Completed,,2025-09-29T16:22:13.979116Z,8,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
