JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d3tol4sv6o9s73ct4tig,3112f9f3-4bd9-46c6-8c61-c4942bb3b366,Completed,,2025-10-24T14:17:55.24414Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tol2kv6o9s73ct4tg0,3112f9f3-4bd9-46c6-8c61-c4942bb3b366,Completed,,2025-10-24T14:17:46.337716Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tol0sv6o9s73ct4te0,3112f9f3-4bd9-46c6-8c61-c4942bb3b366,Completed,,2025-10-24T14:17:39.16342Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tokus60rgc73abfp30,3112f9f3-4bd9-46c6-8c61-c4942bb3b366,Completed,,2025-10-24T14:17:31.666673Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tokt1sg33c73dekebg,3112f9f3-4bd9-46c6-8c61-c4942bb3b366,Completed,,2025-10-24T14:17:24.186062Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tokrc60rgc73abfovg,3112f9f3-4bd9-46c6-8c61-c4942bb3b366,Completed,,2025-10-24T14:17:17.371724Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tokphsg33c73deke7g,3112f9f3-4bd9-46c6-8c61-c4942bb3b366,Completed,,2025-10-24T14:17:10.597357Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3toknpsg33c73deke60,3112f9f3-4bd9-46c6-8c61-c4942bb3b366,Completed,,2025-10-24T14:17:03.218302Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3toklujbaoc73coh8bg,3112f9f3-4bd9-46c6-8c61-c4942bb3b366,Completed,,2025-10-24T14:16:55.781414Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tokk460rgc73abfoog,3112f9f3-4bd9-46c6-8c61-c4942bb3b366,Completed,,2025-10-24T14:16:48.096414Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
