JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d3fr6vq0uq0c73d5d630,3ab12429-d138-4a15-93f9-5a0b6f847fb9,Completed,,2025-10-03T11:29:04.048168Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fr6tq0uq0c73d5d60g,3ab12429-d138-4a15-93f9-5a0b6f847fb9,Completed,,2025-10-03T11:28:55.135042Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fr6rq0uq0c73d5d5ug,3ab12429-d138-4a15-93f9-5a0b6f847fb9,Completed,,2025-10-03T11:28:47.548805Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fr6q20uq0c73d5d5s0,3ab12429-d138-4a15-93f9-5a0b6f847fb9,Completed,,2025-10-03T11:28:40.05489Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fr6nq0uq0c73d5d5pg,3ab12429-d138-4a15-93f9-5a0b6f847fb9,Completed,,2025-10-03T11:28:31.252426Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fr6lq0uq0c73d5d5o0,3ab12429-d138-4a15-93f9-5a0b6f847fb9,Completed,,2025-10-03T11:28:23.784157Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fr6jpi8kms738ru8t0,3ab12429-d138-4a15-93f9-5a0b6f847fb9,Completed,,2025-10-03T11:28:15.088149Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fr6hhb641c738kk130,3ab12429-d138-4a15-93f9-5a0b6f847fb9,Completed,,2025-10-03T11:28:06.645836Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fr6fk1nk1s739mu5l0,3ab12429-d138-4a15-93f9-5a0b6f847fb9,Completed,,2025-10-03T11:27:58.394162Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fr6dhb641c738kk0vg,3ab12429-d138-4a15-93f9-5a0b6f847fb9,Completed,,2025-10-03T11:27:50.946675Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
