JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d3fsaoc1nk1s739mv8pg,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:45:21.415405Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsamhb641c738kl3ug,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:45:14.293879Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsaki0uq0c73d5e8e0,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:45:06.802296Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsaipb641c738kl3r0,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:44:59.267301Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsah1b641c738kl3og,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:44:52.143483Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsaf20uq0c73d5e880,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:44:44.615659Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsad9b641c738kl3kg,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:44:37.478905Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsab9b641c738kl3ig,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:44:29.72575Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsa9i0uq0c73d5e820,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:44:22.482833Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsa7pi8kms738rvb60,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:44:15.853841Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsa641nk1s739mv86g,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:44:08.675037Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsa49i8kms738rvb1g,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:44:01.635588Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsa2hi8kms738rvavg,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:43:54.281215Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fsa0s1nk1s739mv81g,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:43:47.131806Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fs9upi8kms738rvas0,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:43:39.59634Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fs9t1b641c738kl340,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:43:32.597478Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fs9ra0uq0c73d5e7jg,3b07589d-fcbc-4345-a456-67db9f31420a,Completed,,2025-10-03T12:43:25.276839Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
