JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d3fq0p9b641c738kitq0,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:07:33.467546Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fq0nk1nk1s739mt2lg,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:07:26.227993Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fq0ls1nk1s739mt2jg,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:07:19.11771Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fq0jpi8kms738rt5lg,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:07:12.007002Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fq0i1i8kms738rt5j0,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:07:04.45991Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fq0g1i8kms738rt5g0,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:06:56.133455Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fq0e41nk1s739mt2b0,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:06:48.194563Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fq0c41nk1s739mt29g,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:06:40.443398Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fq09k1nk1s739mt26g,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:06:30.563139Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fq07pi8kms738rt57g,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:06:23.246099Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fq05s1nk1s739mt220,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:06:15.122483Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fq041b641c738kit4g,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:06:08.100308Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fq01s1nk1s739mt1ug,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:06:00.057057Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpvvpi8kms738rt50g,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:05:51.761878Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpvthb641c738kisug,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:05:42.761783Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpvrs1nk1s739mt1o0,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:05:35.734555Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpvq20uq0c73d5c1e0,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:05:28.639929Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpvo9i8kms738rt4og,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:05:21.199047Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpvm9b641c738kiso0,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:05:13.690026Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpvkhb641c738kislg,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:05:06.641352Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpvipb641c738kisk0,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:04:59.144976Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpvh20uq0c73d5c15g,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:04:52.345316Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpvf20uq0c73d5c13g,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:04:44.838071Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpvdc1nk1s739mt1a0,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:04:37.562816Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpvbc1nk1s739mt180,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:04:29.616891Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpv9hb641c738kisbg,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:04:22.329415Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpv7s1nk1s739mt140,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:04:15.223707Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpv5pi8kms738rt47g,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:04:07.959514Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpv3pb641c738kis5g,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:04:00.071527Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpv220uq0c73d5c0m0,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:03:52.384929Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpv01i8kms738rt41g,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:03:44.594486Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpuu1b641c738kirvg,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:03:36.079317Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpur9i8kms738rt3sg,5d2b6bef-03eb-446d-a7f1-04af86e0e7f2,Completed,,2025-10-03T10:03:25.62929Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
