JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d3fpsqq0uq0c73d5bul0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:59:07.661895Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpsp41nk1s739msutg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:59:00.582181Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpsnc1nk1s739msuq0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:58:53.556965Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpslk1nk1s739msung,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:58:46.247154Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpsjk1nk1s739msul0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:58:38.545578Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpshs1nk1s739msujg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:58:31.305175Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpsg20uq0c73d5bub0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:58:24.671598Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpsea0uq0c73d5bu90,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:58:17.589847Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpscc1nk1s739msue0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:58:09.730005Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpsa9i8kms738rt1h0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:58:01.726711Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fps8hi8kms738rt1f0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:57:54.509038Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fps6pi8kms738rt1d0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:57:47.26829Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fps49i8kms738rt1a0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:57:37.838754Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fps29i8kms738rt170,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:57:29.83803Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fps0hb641c738kipa0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:57:22.64157Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpruhi8kms738rt120,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:57:14.58845Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fprsk1nk1s739mstug,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:57:06.814052Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fprqpb641c738kip40,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:56:59.028156Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpropi8kms738rt0rg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:56:51.211854Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fprmpi8kms738rt0pg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:56:43.787497Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fprkpb641c738kiotg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:56:35.769688Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fprj41nk1s739mstkg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:56:28.381507Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fprh1b641c738kioq0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:56:20.22999Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fprf20uq0c73d5bt90,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:56:12.455273Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fprchb641c738kiolg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:56:02.989164Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fprapb641c738kiojg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:55:55.400582Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpr8pi8kms738rt0d0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:55:47.894096Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpr741nk1s739mst9g,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:55:40.239636Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpr59b641c738kiodg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:55:33.213241Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpr3c1nk1s739mst5g,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:55:25.946914Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpr1i0uq0c73d5bst0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:55:18.962287Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpqvs1nk1s739mst20,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:55:11.608174Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpqu20uq0c73d5bspg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:55:04.1553Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpqs20uq0c73d5bsng,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:54:56.944907Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpqq1i8kms738rt000,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:54:48.983612Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpqohi8kms738rsvu0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:54:42.331969Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpqmk1nk1s739msspg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:54:34.496053Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpqkpi8kms738rsvpg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:54:27.122134Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpqis1nk1s739mssm0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:54:19.788336Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpqh41nk1s739mssk0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:54:12.384986Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpqf41nk1s739mssh0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:54:04.541275Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpqcpb641c738kinn0,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:53:55.285713Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpqb1i8kms738rsvfg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:53:48.109706Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpq91b641c738kinjg,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:53:40.607495Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpq741nk1s739mss90,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:53:32.134295Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fpq41i8kms738rsv80,85888180-2fe8-4c0e-9f4e-3c2e336a32f2,Completed,,2025-10-03T09:53:20.773885Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
