JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d3dbdrulahfs73cvss60,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:42:23.391786Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbdq6lahfs73cvss3g,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:42:16.52015Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbdnudacis73dbn35g,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:42:07.653907Z,5,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbdmfc8jls73c11a20,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:42:01.33146Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbdknc8jls73c11a0g,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:41:54.917895Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbdj6lahfs73cvsrt0,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:41:48.345295Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbdhmlahfs73cvsrrg,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:41:42.076764Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbdfudacis73dbn2t0,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:41:35.949819Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbdeelahfs73cvsrng,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:41:29.237074Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbdcnc8jls73c119og,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:41:22.747122Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbdb486mts73ccpnpg,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:41:16.480552Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbd9fc8jls73c119l0,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:41:09.262095Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbd7mdacis73dbn2l0,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:41:02.497041Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbd67c8jls73c119hg,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:40:56.695809Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbd4k86mts73ccpnj0,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:40:50.203391Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbd2vc8jls73c119dg,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:40:43.397502Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbd1c86mts73ccpnfg,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:40:37.578111Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3dbcvulahfs73cvsra0,af094e0c-83d8-4e19-9e90-217aa76ca2a6,Completed,,2025-09-29T16:40:31.357544Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
