JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d3frno41nk1s739mult0,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:04:48.155069Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frnm41nk1s739mulrg,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:04:40.595863Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frnk9i8kms738ruokg,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:04:33.331457Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frnii0uq0c73d5dle0,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:04:26.226254Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frngpb641c738kkgv0,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:04:19.141786Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frnepb641c738kkgsg,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:04:11.275222Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frnd1i8kms738ruodg,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:04:04.316103Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frnb9i8kms738ruobg,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:03:57.199918Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frn9a0uq0c73d5dl40,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:03:49.455568Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frn7a0uq0c73d5dl20,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:03:41.97516Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frn5i0uq0c73d5dl00,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:03:34.502982Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frn3k1nk1s739mul8g,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:03:27.295369Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frn1k1nk1s739mul6g,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:03:18.767315Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frmvpb641c738kkge0,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:03:11.268392Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frmu1i8kms738runvg,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:03:04.046824Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frmsa0uq0c73d5dkng,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:02:57.270945Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frmq9i8kms738runs0,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:02:50.013236Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frmoa0uq0c73d5dkjg,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:02:42.001083Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frmmhi8kms738runo0,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:02:34.680252Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frmkq0uq0c73d5dkfg,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:02:27.203693Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frmis1nk1s739mukp0,b3d8e5ca-d20e-43d0-b266-3c097be226d0,Completed,,2025-10-03T12:02:19.652954Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
