JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d3frpv1b641c738kkj9g,c9f4e426-9ccd-4a77-983c-e378b112734b,Completed,,2025-10-03T12:09:32.666813Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frpt9b641c738kkj7g,c9f4e426-9ccd-4a77-983c-e378b112734b,Completed,,2025-10-03T12:09:25.486819Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frpri0uq0c73d5dnpg,c9f4e426-9ccd-4a77-983c-e378b112734b,Completed,,2025-10-03T12:09:18.193765Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frppk1nk1s739muo10,c9f4e426-9ccd-4a77-983c-e378b112734b,Completed,,2025-10-03T12:09:10.514199Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frpnpb641c738kkj20,c9f4e426-9ccd-4a77-983c-e378b112734b,Completed,,2025-10-03T12:09:03.151246Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frplq0uq0c73d5dnjg,c9f4e426-9ccd-4a77-983c-e378b112734b,Completed,,2025-10-03T12:08:55.341169Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frpjpi8kms738ruqkg,c9f4e426-9ccd-4a77-983c-e378b112734b,Completed,,2025-10-03T12:08:47.633809Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frpi20uq0c73d5dnfg,c9f4e426-9ccd-4a77-983c-e378b112734b,Completed,,2025-10-03T12:08:40.546087Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frpga0uq0c73d5dndg,c9f4e426-9ccd-4a77-983c-e378b112734b,Completed,,2025-10-03T12:08:33.587154Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frpe9b641c738kkipg,c9f4e426-9ccd-4a77-983c-e378b112734b,Completed,,2025-10-03T12:08:26.036789Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3frpck1nk1s739munk0,c9f4e426-9ccd-4a77-983c-e378b112734b,Completed,,2025-10-03T12:08:18.473714Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
