JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d3fuogq0uq0c73d5gqjg,f1067bbf-75d1-4689-a21e-e406012e731a,Completed,,2025-10-03T15:31:15.221626Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fuoeq0uq0c73d5gqg0,f1067bbf-75d1-4689-a21e-e406012e731a,Completed,,2025-10-03T15:31:07.500119Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fuocpb641c738knlu0,f1067bbf-75d1-4689-a21e-e406012e731a,Completed,,2025-10-03T15:30:59.753744Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fuob20uq0c73d5gqc0,f1067bbf-75d1-4689-a21e-e406012e731a,Completed,,2025-10-03T15:30:52.340082Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fuo91b641c738knlpg,f1067bbf-75d1-4689-a21e-e406012e731a,Completed,,2025-10-03T15:30:44.816476Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fuo71i8kms738s1tn0,f1067bbf-75d1-4689-a21e-e406012e731a,Completed,,2025-10-03T15:30:36.789127Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fuo5c1nk1s739n1qo0,f1067bbf-75d1-4689-a21e-e406012e731a,Completed,,2025-10-03T15:30:29.546948Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fuo3k1nk1s739n1qm0,f1067bbf-75d1-4689-a21e-e406012e731a,Completed,,2025-10-03T15:30:22.30858Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3fuo1k1nk1s739n1qjg,f1067bbf-75d1-4689-a21e-e406012e731a,Completed,,2025-10-03T15:30:14.269396Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
d3funvi0uq0c73d5gq1g,f1067bbf-75d1-4689-a21e-e406012e731a,Completed,,2025-10-03T15:30:06.93689Z,3,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,
