WorkloadId,Status,Instance,Region,Mode,Created,Completed,QPU,Usage (seconds),User,Tags,Account
d557mbbht8fs73a0jts0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:21:17.438Z,2025-12-23T11:22:29.470Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557m08nsj9s73b2hqbg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:20:33.671Z,2025-12-23T11:21:15.595Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557lf3ht8fs73a0jt0g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:19:24.292Z,2025-12-23T11:20:12.569Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557l27p3tbc73ao33v0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:18:32.567Z,2025-12-23T11:19:23.476Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557kl3ht8fs73a0js70,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:17:40.196Z,2025-12-23T11:18:31.310Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557k4jht8fs73a0jrmg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:16:34.410Z,2025-12-23T11:17:17.529Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557jp8nsj9s73b2ho6g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:15:49.493Z,2025-12-23T11:16:33.483Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557jdnp3tbc73ao32f0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:15:03.203Z,2025-12-23T11:15:48.682Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557j20nsj9s73b2hng0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:14:16.899Z,2025-12-23T11:15:02.041Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557imonsj9s73b2hn40,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T11:13:31.151Z,2025-12-23T11:14:15.424Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
