JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d4g71kmlo8as739pda4g,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T14:01:54.287114Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g71f8lslhc73d0dldg,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T14:01:33.666678Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g71a4cdebc73f0qq30,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T14:01:12.933589Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g714olslhc73d0dl0g,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T14:00:51.550083Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g70vkcdebc73f0qpo0,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T14:00:30.515574Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g70q6lo8as739pd98g,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T14:00:08.135334Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g70kh2bisc73a37j0g,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T13:59:46.772899Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g70fccdebc73f0qp80,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T13:59:25.429921Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g709ulo8as739pd8mg,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T13:59:03.204405Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g704kcdebc73f0qotg,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T13:58:42.236272Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g6vv6lo8as739pd8cg,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T13:58:20.516298Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g6vpolslhc73d0djq0,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T13:57:59.267483Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g6vdmlo8as739pd7s0,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T13:57:10.448357Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g6snulo8as739pd5a0,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T13:51:27.771031Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g6sikcdebc73f0qljg,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T13:51:06.773462Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
d4g6sd6lo8as739pd50g,6605a238-6b69-4915-a365-d8241810d504,Completed,,2025-11-21T13:50:45.014109Z,14,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,"NQCC-Q4, CQAVQE_QHO_exact, shots:4096, Resilience Test, Resilience=2"
