[2025-12-03 15:33:51,510][INFO] {
    "backend_name": "Aer",
    "use_noise_model": 0,
    "H_single_sp": "SparsePauliOp(['II', 'ZI'],\n              coeffs=[0.5+0.j, 0.5+0.j])",
    "num_qubits_single": 2,
    "num_params_single": 1,
    "num_copies": 2,
    "shots": 4096,
    "resilience_level": 0,
    "optimization_level": 3,
    "cost_function": {
        "type": "small negatives",
        "p": 2,
        "lam": 15,
        "eps": 0
    },
    "optimizer_info": {
        "name": "NGOpt",
        "min_iter": 30,
        "max_iter": 200,
        "ng_budget": 200,
        "improve_tol_abs": 1e-08,
        "improve_tol_rel": 0.001
    },
    "tags": [
        "Open-access",
        "CQAVQE_QHO_exact",
        "shots:4096",
        "Parallel Test",
        "2 copies"
    ]
}
[2025-12-03 15:33:51,512][INFO] Initial active copies: [0, 1]
[2025-12-03 15:33:51,513][INFO] Params per copy: 1
[2025-12-03 15:33:51,527][INFO] {
    "default_precision": 0.0,
    "backend_options": {
        "method": "automatic",
        "noise_model": null,
        "seed_simulator": 26818695
    },
    "run_options": {
        "shots": 4096
    }
}
[2025-12-03 15:33:51,532][INFO] [iter 000] active_ids=[0, 1], Es_active=[np.float64(0.9756218679624467), np.float64(0.6400385777582736)]
[2025-12-03 15:33:51,534][INFO] [iter 001] active_ids=[0, 1], Es_active=[np.float64(0.7120865129098795), np.float64(0.3920081955291281)]
[2025-12-03 15:33:51,537][INFO] [iter 002] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0244801137371225)]
[2025-12-03 15:33:51,539][INFO] [iter 003] active_ids=[0, 1], Es_active=[np.float64(0.9619842084138261), np.float64(0.0)]
[2025-12-03 15:33:51,542][INFO] [iter 004] active_ids=[0, 1], Es_active=[np.float64(0.005350636584089019), np.float64(0.0)]
[2025-12-03 15:33:51,544][INFO] [iter 005] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.953120654590533)]
[2025-12-03 15:33:51,547][INFO] [iter 006] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,549][INFO] [iter 007] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,551][INFO] [iter 008] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,554][INFO] [iter 009] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,556][INFO] [iter 010] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,559][INFO] [iter 011] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,561][INFO] [iter 012] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.2978715276299906)]
[2025-12-03 15:33:51,631][INFO] [iter 013] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,633][INFO] [iter 014] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,636][INFO] [iter 015] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,638][INFO] [iter 016] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.36513694639231886)]
[2025-12-03 15:33:51,641][INFO] [iter 017] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,643][INFO] [iter 018] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,646][INFO] [iter 019] active_ids=[0, 1], Es_active=[np.float64(0.3690067910757574), np.float64(0.0)]
